,NAME,RAJ,DECJ,PMRA,PMDEC,P0,P1,F0,F1,F2,PEPOCH,S400,S1400,S2000,BINARY,DIST,DIST_DM,R_LUM,R_LUM14,AGE,F_GW,h_max,Searched in O3 (targeted),,,,suggested_pipeline,Tfft from err pos [day],outliers,upper_limits,standard_deviation_UL,f range or resolution [Hz],fdot range or resolution [Hz/s],Note
0,J1748-3009,17:48:24,-30:09:11,,,0.009684,-3.58E-20,103.263527,3.82E-16,-2.20E-26,5.48E+04,,1.4,,BT,5.053,5.053,,35.7,,206.527054,1.61E-24,Yes (7.5E-27),"Jodrell, F1=3.77E-16",,,O3 analysis,,,7.50E-27,,4.60E-08,2.11E-15,
1,J0921-5202,9:21,-52:02:00,,,0.00968,,103.305785,,,57041,,0.19,,,0.355,0.355,,0.0238,,206.61157,2.30E-23,Yes (5.8E-27),"Meerkaat, F0=103.30777, F1=-2.209E-16",,,O3 analysis,,,5.80E-27,,4.60E-08,2.11E-15,
2,J1122-3546,11:22,-35:46:00,,,0.0078,,128.205128,,,57858,,,,,0.656,0.656,,,,256.410256,1.24E-23,No,,ATNF wrong (see https://doi.org/10.3847/1538-4357/acb43f),TAKE EPHEM NOT FROM ATNF,NB,inf,no,2.37E-26,5.31E-28,4.09E-01,2.13E-14,
3,J1546-5925,15:46,-59:25:00,,,0.0078,,128.205128,,,57071,,0.27,,,4,4,,4.31,,256.410256,2.04E-24,No,,,,NB,3.29E+04,no,2.36E-26,5.10E-28,6.47E-01,2.13E-14,
4,J2129-0429,21:29:45,-4:29:06,12.34,10.19,0.00762,,131.233596,,,55196,0.5,,,ELL1,1.83,1.385,1.67,,,262.467192,4.46E-24,No,,,,Full-coh/semi-coh,,,,,,,
5,J1701-3006C,17:01:13,-30:06:59,,,0.007613,-6.41E-20,131.356873,1.11E-15,,55038,,0.3,0.72,BT,7.05,5,,14.9,,262.713746,1.16E-24,No,,,,Full-coh/semi-coh,,,,,,,
6,J1551-0658,15:51:07,-6:58:07,,,0.00709,,141.043724,,,55196,0.5,,,,1.325,1.325,878,,,282.087448,6.16E-24,Yes (5.7E-27),"Jodrell, F0=140.9690, F1=-3.99E-16",,,O3 analysis,,,5.70E-27,,4.60E-08,2.11E-15,
7,J1748-2446T,17:48:05,-24:46:45,,,0.007085,,141.145053,,,53203,,,0.02,,6.9,4.39,,,,282.290106,1.18E-24,No,,,,NB,inf,no,2.50E-26,5.74E-28,5.97E-01,2.13E-14,
8,J0514-4002N,5:14:07,-40:02:47,,,0.005568,,179.600927,-4.84E-09,9.69E-13,TRAPUM,,,,,11.44,25,,,,359.201854,7.14E-25,No,,,,ALL-SKY,5.10E+01,,1.35E-25,,,,Anomalu fdot f2dot(From TRAPUM)
9,J0514-4002C,5:14:07,-40:02:49,,,0.005565,,179.700978,,,TRAPUM,,,,,11.44,25,,,,359.401956,7.14E-25,No,,,,ALL-SKY,1.32E+02,,1.35E-25,,,,
10,J1824-2452E,18:24:33,-24:52:11,,,0.00542,,184.501845,,,54100,,,,,5.5,"3,698",,,,369.00369,1.48E-24,No,,,,NB,inf,no,2.52E-26,6.79E-28,1.67E-01,2.13E-14,
11,J1745-23,17:45:30,-23:25:00,,,0.005417,,184.614253,,,,,,,BT,8,8,,,,369.228506,1.03E-24,No,,,,BINARY ALL-SKY,5.87E-01,,,,,,"Porb out of studied range by BAS, it is very low"
12,J2129+1210I,21:29:58,#REF!,,,0.00512,,195.3125,,,M15I POSSIBLE BINARY,,,,,10.4,25,,,,390.6250,7.85E-25,No,,,PROB BINARY BUT NO PARAMETERS,Full-coh/semi-coh,,,,,,,
