,NAME,RAJ,DECJ,PMRA,PMDEC,P0,P1,F0,F1,F2,S400,S1400,S2000,BINARY,DIST,DIST_DM,R_LUM,R_LUM14,AGE,F_GW,h_max
0,J1824-2452E,18:24:32.8,-24:52:11.2,,,0.00542,,184.501845,,,,,,,5.5,3.698,,,,369.00369,1.4849207241025647e-24
1,J1745-23,17:45:30,-23:25,,,0.005417,,184.614253,,,,,,BT,7.941,7.941,,,,369.228506,1.0284657747350754e-24
2,J2133-0049C,21:33:27.0,-00:49:24,,,0.003,,333.333333,,,,,,,11.5,25.0,,,,666.666666,7.103669652180602e-25
3,J1748-2446X,17:48:04.8,-24:46:45,,,0.002999,,333.415576,,,,,0.02,BT,6.9,4.412,,,,666.831152,1.1839460094557547e-24
4,J1122-3546,11:22,-35:46,,,0.0078,,128.205128,,,,,,,0.6559999999999999,0.6559999999999999,,,,256.410256,1.2447062256603077e-23
5,J1546-5925,15:46,-59:25,,,0.0078,,128.205128,,,,0.27,,,4.004,4.004,,4.31,,256.410256,2.0392789311517526e-24
6,B0021-72G,00:24:07.9,-72:04:39.7,4.5,-2.9,0.00404,-4.22e-20,247.501525,2.583e-15,6e-27,,,,,4.69,2.556,,,,495.00305,1.7414644338635694e-24
7,J1824-2452J,18:24:32.8,-24:52:11.2,,,0.004039,,247.58603599999998,,,,,,BT,5.5,3.6639999999999997,,,,495.17207199999996,1.4849913608281007e-24
8,J1904+0836g,19:04:35,+08:36,,,0.0044399999999999995,,225.225225,,,,0.02,,,2.926,2.926,,0.146,,450.45045,2.791925861120567e-24
9,J1953+1844g,19:53:44,+18:44,,,0.0044399999999999995,,225.225225,,,,0.12,,,4.353,4.353,,2.31,,450.45045,1.876677020362688e-24
10,J1940+26,19:40:13,+26:01,,,0.004814,,207.747779,,,,,,,7.9239999999999995,7.9239999999999995,,,,415.495558,1.0306009742370765e-24
11,J0024-7204V,00:24:05.6,-72:04:52.6,,,0.00481,,207.89296299999998,,,,,,BTX,4.69,2.48,,,,415.78592599999996,1.7412626277077425e-24
12,J0514-4002N,05:14:06.7,-40:02:47,,,0.005568,,179.600927,,,,,,,11.44,25.0,,,,359.201854,7.139652961987762e-25
13,J0514-4002C,05:14:06.6,-40:02:49.4,,,0.005565,,179.700978,,,,,,,11.44,25.0,,,,359.401956,7.139641560863609e-25
14,J1326-4728E,13:26:44,-47:30,,,0.004208,,237.658566,,,,0.02,,,5.2,5.686,,0.514,,475.317132,1.57093195373241e-24
15,J1748-2446W,17:48:04.8,-24:46:45,,,0.0042049999999999995,,237.80194900000004,,,,,0.02,BT,6.9,4.404,,,,475.6038980000001,1.1838888092265278e-24
16,J0024-7204ad,00:24:05.6,-72:04:05,,,0.00374,,267.379679,,,,0.08,,BT,4.69,2.551,,1.85,,534.759358,1.7418298513121053e-24
17,J1801-0857C,18:01:50.7,-08:57:32.6,,,0.003739,-6.389999999999999e-20,267.472675,4.573e-15,,,0.01,0.01,,10.6,6.667000000000001,,1.35,,534.94535,7.7067710369675055e-25
18,J0024-7204Z,00:24:06.0,-72:05:01.4,4.0,1.0,0.004554,-4.54e-21,219.565606,2.1899999999999998e-16,8e-27,,,,,4.69,2.559,,,,439.131212,1.7417352206855917e-24
19,J0514-4002D,05:14:06.7,-40:02:48.2,,,0.004554,,219.56788999999998,,,,,,BT,11.44,25.0,,,,439.13577999999995,7.14050563102482e-25
20,J1748-3009,17:48:23.7,-30:09:11.2,,,0.009684,-3.58e-20,103.263527,3.8169999999999997e-16,-2.1999999999999998e-26,,1.4,,BT,5.053,5.053,,35.7,,206.527054,1.6134899402254966e-24
21,J0921-5202,09:21,-52:02,,,0.00968,,103.305785,,,,0.19,,,0.355,0.355,,0.0238,,206.61157,2.296618525039952e-23
22,J1838+0022g,18:38:24,+00:22,,,0.00509,,196.463654,,,,0.03,,,4.071000000000001,4.071000000000001,,0.53,,392.927308,2.0056274615483907e-24
23,J1748-2446ac,17:48:04.8,-24:46:45,,,0.0050869999999999995,,196.58299399999999,,,,,,,6.9,4.4,,,,393.16598799999997,1.1833166531177448e-24
24,B0021-72M,00:23:54.4,-72:05:30.7,5.0,-2.0,0.003677,-3.84e-20,271.987229,2.842e-15,7e-27,,,,,4.69,2.553,,,,543.974458,1.7417432447658485e-24
25,J0125-2327,01:25:10,-23:27:26,,,0.003676,,272.045181,,,,2.49,,,0.873,0.873,,1.9,,544.090362,9.357123128425185e-24
26,J1844+0028g,18:44:36,+00:28.8,,,0.0035700000000000003,,280.112045,,,,0.05,,,4.57,4.57,,1.13,,560.22409,1.787497817869999e-24
27,J1748-2446M,17:48:04.8,-24:46:45,,,0.0035700000000000003,,280.145788,,,,,0.03,BT,6.9,4.399,,,,560.291576,1.1838941815172864e-24
28,J2129+1210I,21:29:58.3,+12:10:01,,,0.00512,,195.3125,,,,,,,10.4,25.0,,,,390.625,7.851099220860587e-25
29,J1748-2446ab,17:48:04.8,-24:46:45,,,0.00512,,195.32356299999998,,,,,,,6.9,4.396,,,,390.64712599999996,1.1833537629095723e-24
30,J0024-7204S,00:24:03.9,-72:04:42.3,4.5,-2.5,0.00283,-1.21e-19,353.30620899999997,1.505e-14,-7.800000000000001e-27,,,,ELL1,4.69,2.542,,,,706.6124179999999,1.74184409797987e-24
31,J1308-23,13:08,-23,,,0.00283,,353.35688999999996,,,,,,,1.713,1.713,,,,706.7137799999999,4.768974047112056e-24
32,J2129-0429,21:29:45.0,-04:29:05.5,12.34,10.19,0.00762,,131.233596,,,0.5,,,ELL1,1.83,1.385,1.67,,,262.467192,4.462354585031531e-24
33,J1701-3006C,17:01:12.8,-30:06:59.4,,,0.007613,-6.41e-20,131.356873,1.107e-15,,,0.3,0.72,BT,7.05,4.834,,14.9,,262.713746,1.158317781483358e-24
34,J1317-0157,13:17,-01:57,,,0.0029100000000000003,,343.642612,,,,,,,25.0,25.0,,,,687.285224,3.267692631458314e-25
35,J0418+6635,04:18:48.0,+66:35:25,,,0.0029100000000000003,,343.642612,,,,,,,2.206,2.206,,,,687.285224,3.70318747898721e-24
36,J1551-0658,15:51:07.2,-06:58:06.5,,,0.007090000000000001,,141.043724,,,0.5,,,,1.325,1.325,0.878,,,282.087448,6.164580719410113e-24
37,J1748-2446T,17:48:04.8,-24:46:45,,,0.007084999999999999,,141.145053,,,,,0.02,,6.9,4.39,,,,282.290106,1.1837803398310408e-24
