,NAME,RAJ,DECJ,PMRA,PMDEC,P0,P1,F0,F1,F2,S400,S1400,S2000,BINARY,DIST,DIST_DM,R_LUM,R_LUM14,AGE,F_GW,h_max,h_min
0,J1757-2745,17:57:54.7,-27:45:40.1,-11.4,54.0,0.017687,-1.3000000000000001e-20,56.538013,4.17e-17,-4.7000000000000005e-26,,0.07,,,8.208,8.208,,4.72,,113.076026,1.9593934864201674e-24,1.5142610748968383e-24
1,B1639+36A,16:41:40.8,+36:27:14.9,,,0.010378,-7.27e-20,96.362235,6.75e-16,,3.0,0.14,,,7.1,6.736000000000001,151.0,7.06,,192.72447,2.9215551106857397e-24,2.5021121437698242e-24
2,J1748-2446C,17:48:04.5,-24:46:36,,,0.008436,-6.06e-19,118.538253,8.515e-15,,,,,,6.9,4.385,,,,237.076506,6.3109726765628674e-24,6.100835353335311e-24
3,J1910-5959B,19:10:52.0,-59:59:00.8,,,0.008357999999999999,-7.9e-19,119.64873300000001,1.1320000000000001e-14,,,0.05,,,4.0,1.631,,0.8,,239.29746600000001,1.1928815626839743e-23,1.1903030824068279e-23
4,J1801-0857A,18:01:50.6,-08:57:31.8,,,0.007176,-5.100000000000001e-19,139.360885,9.912e-15,,,0.04,0.02,,10.6,6.684,,4.04,,278.72177,3.222904905691454e-24,3.124445491280176e-24
5,J1748-2021C,17:48:51.1,-20:21:53.8,,,0.006227,-5.98e-20,160.59271,1.543e-15,,,,0.04,,8.5,9.318,,,,321.18542,1.3383378243918503e-24,1.1657157390300135e-24
6,B0021-72C,00:23:50.3,-72:04:31.5,5.2,-3.1,0.005757,-4.99e-20,173.70821899999999,1.504e-15,1.2999999999999999e-27,1.53,0.52,0.23,,4.69,2.594,33.7,11.4,,347.41643799999997,2.0688836348907226e-24,1.7899998415548748e-24
7,J1911+0101B,19:11:12.5,+01:01:50.4,,,0.005384000000000001,-2.0000000000000002e-21,185.724277,6.899e-17,,,,,,7.4,8.681000000000001,,,,371.448554,2.8003061623954995e-25,2.134587814872682e-25
8,B0021-72D,00:24:13.8,-72:04:43.8,4.24,-2.24,0.005358,-3.4200000000000005e-21,186.65167,1.192e-16,-1.1999999999999998e-27,0.95,0.35,0.2,,4.69,2.6310000000000002,20.9,7.7,,373.30334,5.606076195209527e-25,4.381235609083357e-25
9,J0024-7204Z,00:24:06.0,-72:05:01.4,4.0,1.0,0.004554,-4.54e-21,219.565606,2.1899999999999998e-16,8e-27,,,,,4.69,2.559,,,,439.131212,5.449724488799637e-25,4.342988083952093e-25
10,B0021-72L,00:24:03.7,-72:04:56.9,4.4,-2.4,0.004346,-1.22e-19,230.087746,6.461e-15,-1.2999999999999999e-27,,,,,4.69,2.5469999999999997,,,,460.175492,2.3339791389606014e-24,2.1501884085347044e-24
11,B0021-72G,00:24:07.9,-72:04:39.7,4.5,-2.9,0.00404,-4.22e-20,247.501525,2.583e-15,6e-27,,,,,4.69,2.556,,,,495.00305,1.3419830932635952e-24,1.1791369687447633e-24
12,J1801-0857C,18:01:50.7,-08:57:32.6,,,0.003739,-6.389999999999999e-20,267.472675,4.573e-15,,,0.01,0.01,,10.6,6.667000000000001,,1.35,,534.94535,6.617598749406268e-25,5.958144139618419e-25
13,B0021-72M,00:23:54.4,-72:05:30.7,5.0,-2.0,0.003677,-3.84e-20,271.987229,2.842e-15,7e-27,,,,,4.69,2.553,,,,543.974458,1.1701211130707375e-24,1.0288836388805078e-24
14,J1836-2354B,18:36:24.3,-23:54:28.7,,,0.003232,-4.8e-22,309.379715,4.594e-17,,,0.04,0.04,,3.2,3.465,,0.41,,618.75943,1.6352094105613117e-25,1.490146287116657e-25
15,B0021-72N,00:24:09.1,-72:04:28.8,6.3,-2.8,0.003054,-2.19e-20,327.444319,2.343e-15,-9e-27,,,,,4.69,2.589,,,,654.888638,6.910921899872631e-25,6.510762270659775e-25
