,f_obs,fdot_obs,dist,mu,alpha,Mbh,fdot_ratio,tauGW,strain,powGW,EM_lum_eps6
0.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.023863994286655928,4.458611387762279,0.4347562049221258,42767.0,0.0,0.0,0.0
1.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.024532956016001535,4.583596348310366,0.6138244026374611,32766.0,0.0,0.0,0.0
2.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.02520191774534714,4.708581308858453,0.85831929213415,25291.0,0.0,0.0,0.0
3.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.025870879474692746,4.833566269406541,1.1892684479635305,19659.0,1.3513515057065368e-24,1.8208826214546272e+34,1.6759602098756334e+43
4.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.02653984120403835,4.958551229954627,1.6335795814448544,15383.0,1.3344549950091757e-24,1.7755747598039025e+34,1.4972981922453874e+43
5.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.027208802933383958,5.0835361905027145,2.225450672634517,12114.0,1.3181867568626447e-24,1.7324886134641576e+34,1.3414927648178416e+43
6.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.027877764662729565,5.208521151050801,3.008064345793129,9597.0,1.3025087933855487e-24,1.691464269195252e+34,1.205156589709066e+43
7.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.02854672639207517,5.333506111598889,4.0356132422658755,7647.0,1.2873862452089913e-24,1.6523568031470518e+34,1.0854696913284189e+43
8.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.029215688121420776,5.458491072146976,5.375709123933444,6127.0,1.2727870659296276e-24,1.615034564773142e+34,9.800739840079139e+42
9.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.02988464985076638,5.583476032695063,7.112234960432926,4934.0,1.2586817369081234e-24,1.5793776912344415e+34,8.869892613535722e+42
10.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.030553611580111988,5.70846099324315,9.348706340979795,3994.0,1.245043016631323e-24,1.5452768169614657e+34,8.04545919264241e+42
11.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.031222573309457595,5.833445953791238,12.212216231787895,3248.0,1.231845719785679e-24,1.5126319490856685e+34,7.313308023225961e+42
12.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.031891535038803195,5.958430914339323,15.85804539876972,2654.0,1.2190665219990356e-24,1.4813514844670153e+34,6.661433995387656e+42
13.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.0325604967681488,6.083415874887411,20.475029756468285,2178.0,1.2066837867411012e-24,1.451351347803345e+34,6.079602451704766e+42
14.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.03322945849749441,6.208400835435498,26.291785511345598,1795.0,1.1946774115368132e-24,1.4225542339329586e+34,5.559058577816075e+42
15.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.03389842022684002,6.3333857959835855,33.58390326363157,1485.0,1.1830286909522098e-24,1.3948889398170937e+34,5.092289146213735e+42
16.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.034567381956185625,6.458370756531673,42.68223323881837,1233.0,1.1717201941988874e-24,1.3682897739805688e+34,4.672826376187785e+42
17.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.03523634368553123,6.58335571707976,53.98239555518659,1028.0,1.1607356557302034e-24,1.342696033555684e+34,4.295085827008869e+42
18.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.03590530541487683,6.708340677627846,67.9556619201581,860.0,0.0,0.0,0.0
19.0,173.70821899999999,1.504e-15,4.69,7.183012434627774e-13,0.03657426714422244,6.833325638175934,85.16136839878214,722.0,0.0,0.0,0.0
20.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.019420090240293727,3.3767290631205698,0.47883082555350404,292062.0,0.0,0.0,0.0
21.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.020309157096763248,3.5313183495837652,0.8404230838606096,189220.0,0.0,0.0,0.0
22.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.02119822395323277,3.6859076360469607,1.4387835444126331,124961.0,3.6353157770460118e-25,1.5217629761545587e+33,1.0595969541492325e+43
23.0,186.65167,1.192e-16,4.69,7.718237365349075e-13,0.02208729080970229,3.8404969225101566,2.4074897691267116,83987.0,3.5623100475732826e-25,1.4612024161020785e+33,8.833904950454142e+42
